RecID,Recipe Name,Chef Name,Recipe Category,Recipe Description,Serving Size (PAX),Portion Size (grams or ounces),Plate Category,Cuisine Type,Cooking Method,Yield (Servings),RecipeImageCategory,Energy(kcal/100g),Fat(g/100g),SatFat(g/100g),Carb(g/100g),Sugar(g/100g),AddedSugar(g/100g),Fiber(g/100g),Protein(g/100g),Sodium(mg/100g),Salt(mg/100g),Cholesterol(g/100g),Vitamin D (g/100g),Calcium (g/100g),Iron(g/100g),Potassium(g/100g),%ofFruitsVegNutsOil,NUTRIGRADE,Celery,Cereals w/ Gluten,Crustaceans,Egg,Fish,Lupin,Milk,Molluscan Shellfish,Mustard,nuts,Peanut,Sesame,Soy,Sulfites,ALLERGENCONTAINS
AMMO-TGS-006,Tuna Grill Steak,Amorim Montes Fabio Manuel,Fish & Seafood,Simple tuna steak grilled,10,150,Main Dish,Mediterranean,GRILL,10,Grilled Fish,168,3.5,0.7,0,0,0,0,32.5,210,52.5,0.06,0.0004,0.01,0.0015,0.45,0,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fish
AMMO-V-005,Tilapia,Amorim Montes Fabio Manuel,Fish & Seafood,,20,180,Main Dish,International,STEAM,200,Steamed Fish,143,3.5,0.7,0,0,0,0,24.5,50,125,0.06,0.0004,0.02,0.001,0.4,5,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fish
AMMO-YP-015,yorkshire pudding,Amorim Montes Fabio Manuel,Soup,puddings for the roastbeef,10,40,Garnish,International,ROAST,10,"Egg-Based Dishes (Omelet, Frittata, Shakshuka)",245.51,9.41,1.71,28.19,2.41,0,1.21,6.31,104.17,260.43,0.08,0.001,0.08,1.71,0.51,0,C,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Egg, Milk"
BRDE-ACS-079,Bbq Spare Ribs,Brito de Oliveira Porfirio,Meat,Pork spare ribs roasted until tender,4,360,Main Dish,,ROAST,,Roasted Pork,343.21,26.45,8.91,6.23,4.19,3.51,0.35,23.19,541.19,137.19,0.065,0.0012,0.023,1.31,0.43,0.01,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Soy
BRDE-B&VS-117,Beef & Vegetables Soup,Brito de Oliveira Porfirio,Soup,Hearty beef soup with mixed vegetables cooked in a rich broth.,4,300,Soup Of Day,,STEWED,,"Hearty Soups & Creams (Minestrone, Pumpkin Soup)",83.19,2.43,0.73,7.35,2.55,0,1.43,6.19,244.81,61.2,0.16,0,0.03,0.93,0.31,0.73,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-BACC-170,Broccoli And Cauliflower Cheese,Brito de Oliveira Porfirio,Vegetables,Broccoli and cauliflower baked with creamy cheese sauce.,4,260,Side Dish,,BAKE,,Vegetarian Dish,154.21,10.39,6.93,6.19,2.41,0,2.51,5.93,244.85,61.21,0.23,0.01,0.19,0.73,0.35,55.12,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BB-027,Braised Beef,Brito de Oliveira Porfirio,Meat,Slow-braised beef cooked in rich stock until tender.,4,350,Main Dish,International,BRAISED,1400,Roasted Beef,233.19,14.29,3.51,6.19,2.39,0,0.81,23.19,351.19,883.95,0.06,0,0.02,0.02,0.35,14.29,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BB-090,Butter Beef,Brito de Oliveira Porfirio,Meat,Tender beef cooked in a creamy butter sauce with mild spices.,4,340,Main Dish,International,WARM,1360,"Stewed Beef (Goulash, Beef Bourguignon)",343.21,26.19,16.35,4.23,0.41,0,0.21,29.15,351.19,88.45,0.073,0.0004,0.012,0.0025,0.035,0.05,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BB-110,Beef Burger,Brito de Oliveira Porfirio,Meat,Grilled beef burger patty,4,180,Main Dish,International,GRILL,720,Grilled Beef,243.45,17.23,6.12,0,0,0,0,24.19,541.67,541.67,0.06,0.001,0.02,0.02,0.35,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BC-019,Beef Curry,Brito de Oliveira Porfirio,Meat,Slow-cooked beef in a spiced curry sauce.,4,340,Main Dish,International,STEWED,1360,"Stewed Beef (Goulash, Beef Bourguignon)",233.41,14.19,8.31,10.39,2.19,0,0.81,20.55,351.19,88.35,0.06,0,0.02,0.02,0.35,10.23,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Milk
BRDE-BCP-027,Beef Cottage Pie,Brito de Oliveira Porfirio,Meat,Classic baked dish of minced beef topped with mashed potatoes.,4,380,Main Dish,International,WARM,1520,Roasted Beef,243.41,14.21,5.31,16.19,2.39,0,1.81,15.61,351.19,89.19,0.35,0,0.02,0.02,0.31,23.19,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-BF-053,Breaded Fish,Brito de Oliveira Porfirio,Fish & Seafood,Breaded fish fillet fried until crispy.,4,330,Main Dish,International,FRIED,1320,Breaded Fish,234.15,10.31,1.71,10.19,0.45,0,0.35,20.55,351.19,883.79,0.046,0.0003,0.038,0.009,0.34,0,C,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Cereals w/ Gluten, Fish"
BRDE-BF-128,Baked Fish,Brito de Oliveira Porfirio,Fish & Seafood,"Baked fish fillet seasoned with lemon, garlic and herbs.",4,300,Main Dish,,BAKE,,Baked Fish Fillet,143.88,3.33,0.56,0.33,0,0,0,26.67,433.33,1097.5,0.06,0.0012,0.012,0.0015,0.42,0,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fish
BRDE-BFWPS-127,Baked Fish With Polish Sauce,Brito de Oliveira Porfirio,Fish & Seafood,Baked fish fillet served with traditional Polish-style egg and butter sauce.,4,320,Main Dish,,BAKE,,Baked Fish Fillet,173.41,8.51,2.53,0.31,0.05,0,0.05,20.85,241.19,606.98,0.43,0.0012,0.02,0.53,0.35,2.22,B,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Egg, Fish"
BRDE-BG-019,Beef Goulash,Brito de Oliveira Porfirio,Meat,Hungarian-style slow cooked beef stew with paprika.,4,350,Main Dish,International,STEWED,1400,"Stewed Beef (Goulash, Beef Bourguignon)",173.41,8.31,2.51,6.19,2.35,0,1.21,20.55,351.19,883.79,0.058,0,0.021,0.0025,0.35,23.07,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BG-067,Bami Goreng,Brito de Oliveira Porfirio,Pasta,Indonesian stir fried egg noodles with vegetables and soy sauce.,4,320,Side Dish,International,FRIED,1280,Stir-Fried Noodles (Asian Style),234.15,9.53,1.42,34.19,2.51,0,2.35,6.31,351.19,88.35,0,0,0.03,0.85,0.24,34.21,C,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"Egg, Soy"
BRDE-BGS-019,Beef Grill Steak,Brito de Oliveira Porfirio,Meat,Juicy grilled beef steak seasoned simply with salt and pepper.,4,320,Main Dish,International,GRILL,1280,Grilled Beef,233.45,15.11,4.53,0,0,0,0,26.59,204.69,51.67,0.065,0.0014,0.005,0.0025,0.035,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BKC-027,Beef Kebab Cevapi,Brito de Oliveira Porfirio,Meat,Balkan-style grilled minced beef kebabs with spices.,4,320,Main Dish,International,GRILL,1280,Street Food,243.41,14.51,5.23,0.51,0.05,0,0.11,26.39,351.19,883.79,0.07,0,0.02,2.39,0.35,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BLS-048,Braised Lamb Shank,Brito de Oliveira Porfirio,Meat,Slow braised lamb shank cooked until tender in rich stock.,4,360,Main Dish,International,BRAISED,1440,Roast Lamb,243.12,14.51,5.23,6.21,1.39,0,0.71,23.19,351.19,89.19,0.08,0.01,0.02,0.03,0.35,12.5,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-BM-019,Beef Masala,Brito de Oliveira Porfirio,Meat,Indian-style beef cooked with aromatic spices and masala sauce.,4,340,Main Dish,International,STEAM,1360,Stir-Fry Beef,143.21,3.41,0.91,6.23,2.19,0,1.21,23.19,351.19,883.95,0.061,0.001,0.021,0.0025,0.35,23.45,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BM-093,Belgium Mussels,Brito de Oliveira Porfirio,Fish & Seafood,Mussels cooked with garlic and herbs,4,350,Main Dish,International,STEAM,1400,"Shellfish Dishes (Shrimp, Mussels, Clams)",86.19,2.11,1.23,3.85,0.23,0,0.35,12.11,243.75,610.94,0.024,0.0012,0.046,0.012,0.23,0,B,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"Crustaceans, Fish, Molluscan Shellfish"
BRDE-BML-019,Beef Meat Loaf,Brito de Oliveira Porfirio,Meat,Oven baked loaf made from seasoned minced beef.,4,340,Main Dish,International,WARM,1360,Roasted Beef,243.12,14.51,5.23,8.41,1.41,0.41,0.71,23.19,351.19,883.79,0.061,0.0014,0.023,2.31,0.351,12.51,B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cereals w/ Gluten
BRDE-BMS-144,Beef Mushroom Stew,Brito de Oliveira Porfirio,Meat,Tender beef stewed with mushrooms,4,350,Main Dish,,STEWED,,"Stewed Beef (Goulash, Beef Bourguignon)",173.41,8.55,2.35,6.23,1.95,0,1.23,15.61,351.19,88.35,0.035,0,0.023,2.35,0.394,23.11,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-BO-027,Braised Oxtail,Brito de Oliveira Porfirio,Meat,Slow braised oxtail cooked in rich stock until extremely tender.,4,350,Main Dish,International,BRAISED,1400,Roasted Beef,343.21,24.19,8.35,6.53,2.19,0,0.81,23.41,351.19,89.19,0.076,0.0012,0.021,2.53,0.35,14.29,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-BP-019,Beef Pie,Brito de Oliveira Porfirio,Meat,Savory baked pie filled with minced beef and gravy.,4,360,Main Dish,International,FRIED,1440,Roasted Beef,343.21,23.19,10.35,20.56,1.23,0,0.93,15.61,434.12,109.28,0.035,0.001,0.017,1.53,0.235,12.5,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Celery, Cereals w/ Gluten"
BRDE-BP-067,Beef Pasta,Brito de Oliveira Porfirio,Pasta,Pasta with minced beef and tomato sauce.,4,320,Main Dish,International,WARM,1280,"Italian Pasta (Spaghetti, Lasagna, Tagliatelle)",245.51,9.15,2.51,28.19,4.39,0.49,2.35,18.29,351.19,88.29,0.35,0.01,0.17,2.19,0.43,10.19,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BP-135,Beef Pie,Brito de Oliveira Porfirio,Meat,Savoury baked pie filled with ground beef and vegetables,4,360,Main Dish,,BAKE,,"Cheese-Based Dishes (Gratin, Cheese Pie, Fondue)",344.21,23.19,9.35,20.15,2.51,0,1.41,18.39,434.19,109.55,0.058,0.0012,0.017,2.33,0.35,15.63,C,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"Celery, Cereals w/ Gluten, nuts"
BRDE-BPB-042,BBQ Pork Belly,Brito de Oliveira Porfirio,Meat,Crispy grilled pork belly with barbecue glaze.,4,340,Side Dish,International,GRILL,1360,Grilled Pork,541.23,45.67,14.21,6.54,4.23,3.45,0.23,25.11,543.21,137.38,0.71,0.01,0.02,0.85,0.35,5.21,D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Soy
BRDE-BPC-042,Breaded Pork Chops,Brito de Oliveira Porfirio,Meat,Crispy breaded pork chops pan fried until golden.,4,330,Main Dish,International,FRIED,1320,Breaded Pork,344.21,20.55,7.35,10.19,0.55,0,0.35,25.19,450.19,1140.48,0.065,0.0012,0.021,0.93,0.43,0,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cereals w/ Gluten
BRDE-BPWEAR-136,Baked Pepper With Eggplant And Rice,Brito de Oliveira Porfirio,Plant-Based,"Bell peppers stuffed with rice, eggplant and vegetables.",4,330,Main Dish,,BAKE,,Vegetarian Dish,154.21,2.51,0.35,28.19,6.21,0,4.31,3.51,351.19,88,0,0,0.03,0.85,541.19,85,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Egg
BRDE-BQ-166,Beef Quesadillas,Brito de Oliveira Porfirio,Wraps & Sandwiches,"Grilled tortillas filled with seasoned beef, vegetables and melted cheese.",4,320,Main Dish,,GRILL,,Wraps-Tortillas,334.21,18.39,7.31,24.19,4.21,0.51,2.53,20.85,441.19,110.85,0.051,0.0003,0.192,2.53,0.394,23.15,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-BR-027,Beef Rendang,Brito de Oliveira Porfirio,Meat,Indonesian slow-cooked beef in rich coconut and spice paste.,4,340,Main Dish,International,WARM,1360,Stir-Fry Beef,343.21,26.45,18.23,6.53,1.21,0,0.81,23.19,351.19,883.79,0.065,0.0012,0.021,0.0025,0.351,14.21,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Milk
BRDE-BR-179,Beef Rendang,Brito de Oliveira Porfirio,Meat,Slow-cooked Indonesian-style beef stew.,4,350,Main Dish,,STEWED,,"Stewed Beef (Goulash, Beef Bourguignon)",243.41,17.19,12.35,6.53,1.41,0,0.81,20.35,341.19,863.79,0.06,0,0.02,0.02,0.35,0.23,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Milk
BRDE-BRCL-125,Bbq Roast Chicken Legs,Brito de Oliveira Porfirio,Meat,Roasted chicken legs glazed with barbecue sauce,4,340,Main Dish,,ROAST,,"Hearty Soups & Creams (Minestrone, Pumpkin Soup)",194.41,8.45,2.31,4.24,2.51,2.51,0.21,26.55,434.41,109.36,0.065,0.005,0.015,0.93,0.29,0,B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Soy
BRDE-BS-079,Beans Soup,Brito de Oliveira Porfirio,Soup,Traditional bean soup cooked with vegetables and herbs.,4,250,Soup Of Day,International,WARM,1000,"Hearty Soups & Creams (Minestrone, Pumpkin Soup)",140.23,2.11,0.31,24.19,4.23,0,4.51,8.19,201.19,505.19,0,0,0.53,2.31,814.19,80,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-BSM-142,Belgian Style Mussels,Brito de Oliveira Porfirio,Fish & Seafood,,4,350,Main Dish,,STEAM,,"Shellfish Dishes (Shrimp, Mussels, Clams)",86.19,2.11,0.83,3.95,0.71,0,0.41,12.11,243.75,612.19,0.24,0,0.04,0.02,0.23,0,B,1,0,1,0,1,0,0,1,0,0,0,0,0,0,"Celery, Crustaceans, Fish, Molluscan Shellfish"
BRDE-C&CS-116,Carrots & Cauliflower Soup,Brito de Oliveira Porfirio,Soup,"Smooth vegetable soup made with carrots, cauliflower and onions",4,280,Soup Of Day,,STEWED,,"Hearty Soups & Creams (Minestrone, Pumpkin Soup)",54.41,2.23,0.83,8.35,4.23,0,2.41,1.41,241.19,606.91,0.01,0,0.03,0.41,0.31,80,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-C-137,Croquettes,Brito de Oliveira Porfirio,Meat,Crispy fried croquettes filled with creamy potato and meat mixture.,4,180,Side Dish,,DEEP FRIED,,"Cheese-Based Dishes (Gratin, Cheese Pie, Fondue)",343.21,23.19,8.51,24.39,1.21,0,2.35,13.49,451.19,114.29,0.71,0.01,0.23,1.93,0.73,0.23,C,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Cereals w/ Gluten, Egg"
BRDE-CAB-133,Couscous And Buckwheat,Brito de Oliveira Porfirio,Plant-Based,Mixed couscous and buckwheat served with oil and herbs.,4,220,Side Dish,,STEAM,,Vegetarian Dish,154.29,2.47,0.35,28.49,1.21,0,4.23,5.51,210.91,210.91,0,0,0.02,0.85,0.43,0.15,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-CÁLK-149,Chicken Á La King,Brito de Oliveira Porfirio,Meat,"Creamy chicken dish with mushrooms, bell peppers and rich sauce.",4,340,Main Dish,,STEWED,,"Stewed Poultry (Coq Au Vin, Chicken Curry)",174.41,10.31,6.19,6.19,1.41,0,1.41,20.51,351.19,88.35,0.06,0,0.02,0.01,0.34,23.08,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Celery, Cereals w/ Gluten"
BRDE-CB-027,Chinese Beef,Brito de Oliveira Porfirio,Meat,Chinese-style beef cooked with soy sauce and vegetables.,4,320,Main Dish,International,FRIED,1280,Stir-Fry Beef,243.12,14.21,2.53,8.19,2.35,0.45,1.42,23.19,541.91,137.29,0.06,0,0.02,0.02,0.35,24.56,B,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Fish, Soy"
BRDE-CC-005,Chilli Chicken,Brito de Oliveira Porfirio,Meat,Spicy Indo-Chinese stir-fried chicken with peppers and chili sauce.,4,320,Main Dish,Arabic,FRIED,1280,Stir-Fry Chicken,233.19,12.41,2.35,10.39,2.51,0.71,1.85,23.19,434.38,109.59,0.065,0.0012,0.021,0.93,0.43,23.15,B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Soy
BRDE-CC-006,Chicken Curry,Brito de Oliveira Porfirio,Meat,Mild spiced chicken curry with aromatic gravy.,4,380,Main Dish,Arabic,STEWED,1520,"Legume Stews (Lentil Stew, Chickpea Curry)",174.41,10.35,7.19,6.19,1.41,0,1.19,15.61,351.19,883.79,0.036,0.0012,0.021,0.93,0.235,23.11,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Milk
BRDE-CC-012,Cheese Chicken,Brito de Oliveira Porfirio,Meat,Creamy chicken breast cooked with melted cheese and mild seasoning.,4,330,Main Dish,International,FRIED,1320,Breaded Chicken,243.41,14.29,7.35,4.38,0.55,0,0.21,24.85,434.48,109.36,0.065,0.0012,0.173,0.93,0.345,5.26,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-CC-150,Cheese Cauliflower,Brito de Oliveira Porfirio,Vegetables,Cauliflower baked with creamy cheese sauce,4,250,Side Dish,,BAKE,,Vegetarian Dish,174.41,12.31,8.23,6.23,2.41,0,2.51,6.39,341.19,863.79,0.03,0.001,0.19,0.63,0.42,60.23,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-CG-012,Chicken Gyros,Brito de Oliveira Porfirio,Meat,Greek-style grilled chicken served with pita bread and herbs.,4,320,Main Dish,Mediterranean,GRILL,1280,Grilled Chicken,143.19,3.44,0.93,0.43,0.12,0,0.08,30.59,351.19,89.01,0.073,0.0014,0.012,0.93,0.35,5.41,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-CG-143,Chicory Gratin,Brito de Oliveira Porfirio,Plant-Based,Belgian-style baked chicory,4,260,Side Dish,,BAKE,,Vegetarian Dish,154.29,11.54,7.31,6.19,2.49,0,2.35,5.51,433.08,108.27,0.03,0,0.07,0.73,0.42,40,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-CGT-002,Chicken General Tso,Brito de Oliveira Porfirio,Meat,Crispy fried chicken coated in sweet and spicy sauce.,4,330,Main Dish,International,DEEP FRIED,1320,Stir-Fry Chicken,344.21,20.19,3.41,24.11,8.19,6.19,0.71,23.19,541.19,137.19,0.061,0.0012,0.021,1.19,0.431,5.19,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Soy
BRDE-CISS-181,Chicken In Spinach Sauce,Brito de Oliveira Porfirio,Meat,Tender chicken breast pieces cooked in a creamy spinach and garlic sauce.,4,340,Main Dish,,STEWED,,"Stewed Poultry (Coq Au Vin, Chicken Curry)",174.41,10.33,6.23,4.19,1.41,0,1.35,20.55,434.79,109.35,0.056,0.001,0.073,0.93,0.345,23.41,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Celery
BRDE-CK-002,Chicken Kentucky,Brito de Oliveira Porfirio,Meat,Crispy deep-fried chicken coated in seasoned flour.,4,320,Main Dish,International,DEEP FRIED,1280,Breaded Chicken,294.12,17.41,3.19,10.35,0.55,0,0.81,23.19,433.91,109.23,0.065,0.0012,0.021,0.93,0.235,0,C,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Cereals w/ Gluten, Milk"
BRDE-CKWTS-154,Chicken Kiev With Tomato Sauce,Brito de Oliveira Porfirio,Meat,Breaded chicken breast stuffed with garlic butter and served with tomato sauce.,4,340,Main Dish,,FRIED,,Breaded Chicken,344.21,23.19,8.41,14.59,2.35,0.35,1.21,24.39,434.19,109.29,0.065,0.0012,0.021,0.0018,0.34,12.5,C,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Cereals w/ Gluten, Egg"
BRDE-CL-072,Chicken Lasagna,Brito de Oliveira Porfirio,Meat,"Lasagna layered with chicken, béchamel sauce and mozzarella cheese.",4,360,Main Dish,International,WARM,1440,"Italian Pasta (Spaghetti, Lasagna, Tagliatelle)",243.12,14.21,8.35,14.19,2.31,0.41,0.71,20.39,434.12,108.53,0.065,0.0012,0.234,0.012,0.231,5.21,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
BRDE-CLSWV&C-164,Chicken Legs Stuffed With Vegetables & Cheese,Brito de Oliveira Porfirio,Meat,Roasted chicken legs stuffed with mixed vegetables and cheese.,4,360,Main Dish,,ROAST,,Meat Stuffed Vegetables,194.41,10.33,3.19,4.19,1.41,0,1.19,24.51,434.17,109.29,0.065,0.0012,0.021,0.0018,0.35,23.15,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
